EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Allmänna uppgifter	Vattentyp - Sjö	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Djupkategori	Yta	Färg (Humus)	Bakgrundsalkalinitet
SE711945-167290	Lill-Ramsjön	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE722267-168457	Petikträsket	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE721973-166871	Ol-Ersaselet	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE721570-165907	Lillholmträsket	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE720979-169932	Rengårdsdammen	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	KMV(F)	S3DSYN	S	3	D	S	Y	N
SE720189-169343	Storträsket	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE719974-165678	Åmträsket	Umeälven - SE28000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE719559-168740	Nörd-Lidsträsket	Rickleån - SE24000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE719959-169480	Månsträsket	Skellefteälven - SE20000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE719778-166599	Kattisträsket	Umeälven - SE28000	Västerbotten - 24	Norsjö - 2417	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2SSYN	S	2	S	S	Y	N
