WB,n
SE652852-125333,4
SE652874-124189,4
SE652920-222650,31
SE652923-127391,4
SE653015-152780,8
SE653158-125256,4
SE653176-222000,20
SE653242-125047,3
SE653263-125680,4
SE653342-142228,4
SE653461-126344,3
SE653533-124568,4
SE653651-159858,4
SE653658-125407,4
SE653667-124289,4
SE653847-151668,11
SE653870-235570,1
SE653900-223280,30
SE653988-123972,4
SE654000-222430,3
SE654022-124861,4
SE654100-234100,1
SE654145-161816,9
SE654200-222920,3
SE654278-129338,2
SE654291-224000,3
SE654319-140181,2
SE654353-162104,1
SE654360-235780,12
SE654396-162335,4
SE654470-146778,2
SE654470-222700,42
SE654490-220870,2
SE654491-160230,2
SE654500-232000,22
SE654512-161517,4
SE654513-124436,4
SE654560-246250,1
SE654575-234250,15
SE654615-157469,10
SE654640-233190,4
SE654692-124138,2
SE654705-160001,2
SE654820-222660,38
SE654860-219880,33
SE654962-124827,4
SE654990-224540,12
SE655068-153204,8
SE655094-127798,2
SE655120-220380,25
SE655157-127195,2
SE655180-218660,28
SE655181-123825,4
SE655209-126937,26
SE655241-123459,4
SE655260-224280,13
SE655319-159981,4
SE655407-131876,4
SE655623-130071,2
SE655625-163078,4
SE655799-139743,3
SE655850-163256,4
SE655863-129783,31
SE655894-160406,2
SE655932-132012,4
SE655964-143577,2
SE656043-130369,4
SE656155-161871,4
SE656206-159170,24
SE656294-141661,4
SE656300-222750,34
SE656377-127113,3
SE656569-127082,3
SE656599-128366,2
SE656620-222480,33
SE656651-157649,3
SE656712-128294,4
SE656755-141273,3
SE656793-163709,3
SE656804-128027,15
SE656826-132747,3
SE656833-162888,3
SE656840-222800,16
SE656853-152800,3
SE656944-164051,4
SE657003-144472,4
SE657041-163174,3
SE657067-163219,4
SE657087-142355,4
SE657145-142160,2
SE657159-130674,4
SE657188-128002,4
SE657245-160890,3
SE657405-129657,2
SE657412-164249,16
SE657556-129516,3
SE657573-157633,3
SE657608-164193,20
SE657689-130989,2
SE657852-130285,4
SE658086-130264,31
SE658087-132088,2
SE658092-130066,4
SE658116-129284,4
SE658138-130075,3
SE658155-143234,4
SE658268-146477,11
SE658352-163189,27
SE658366-149508,1
SE658407-131603,2
SE658427-140486,2
SE658447-143170,2
SE658507-162696,20
SE658523-130210,2
SE658565-130598,4
SE658566-131495,3
SE658644-150055,2
SE658758-128386,3
SE658778-138698,3
SE658785-132156,2
SE658818-162065,4
SE658861-130080,4
SE658998-128922,4
SE659014-144910,4
SE659024-140991,3
SE659024-162417,39
SE659105-133982,28
SE659236-137481,3
SE659265-144535,4
SE659296-130107,4
SE659362-130736,3
SE659402-139777,2
SE659445-132611,2
SE659495-146263,2
SE659500-128992,4
SE659500-131245,4
SE659503-132228,3
SE659553-140513,3
SE659564-142727,4
SE659684-130921,4
SE659685-136304,3
SE659689-150115,2
SE659690-145449,4
SE659706-163325,3
SE659721-145551,2
SE659728-161988,3
SE659764-131492,3
SE659771-162546,6
SE659816-141654,4
SE659856-127318,2
SE659976-150592,2
SE660007-131470,3
SE660018-163987,3
SE660231-143376,3
SE660248-146171,2
SE660283-140320,3
SE660312-152532,4
SE660314-130230,4
SE660330-149815,3
SE660342-149267,12
SE660435-150793,2
SE660453-128893,3
SE660456-140988,3
SE660520-145622,1
SE660523-160785,6
SE660550-127232,3
SE660557-148736,1
SE660627-134606,3
SE660637-161566,3
SE660666-138102,3
SE660672-131126,2
SE660688-164478,31
SE660744-128485,4
SE660745-147827,2
SE660749-161885,29
SE660765-165626,4
SE660800-142833,4
SE660804-142742,25
SE660835-129526,2
SE660860-151127,2
SE660880-142954,4
SE660884-165506,2
SE660886-141808,2
SE660973-150540,3
SE661075-159692,6
SE661076-148803,3
SE661084-165433,3
SE661142-142174,3
SE661157-138778,2
SE661160-144723,4
SE661167-130078,2
SE661184-140253,4
SE661197-130374,2
SE661214-127290,4
SE661273-138445,2
SE661289-152248,2
SE661312-150066,2
SE661378-130063,3
SE661407-138951,3
SE661483-143936,2
SE661493-137312,3
SE661554-150015,3
SE661561-165123,4
SE661581-131055,3
SE661623-130882,4
SE661626-153765,4
SE661646-150730,2
SE661648-130509,3
SE661721-131170,2
SE661779-127273,4
SE661797-145589,2
SE661880-152199,6
SE661886-144996,4
SE661897-130699,2
SE661952-150127,7
SE661952-164005,14
SE661966-164781,2
SE661971-141613,3
SE661985-133333,2
SE661998-150929,6
